Datetime,Day,Image filename,Location,Purpose,Cluster
2019-02-04 18:09:08,monday,week/img (61).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 18:11:15,monday,week/img (62).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 18:14:08,monday,week/img (63).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 18:17:33,monday,week/img (64).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 18:21:19,monday,week/img (65).jpg,CSCI Building,Attending CSCI 627,2.0
2019-02-04 18:25:15,monday,week/img (66).jpg,CSCI Building,Attending CSCI 627,2.0
2019-02-04 18:27:02,monday,week/img (67).jpg,CSCI Building,Attending CSCI 627,2.0
2019-02-04 18:30:12,monday,week/img (68).jpg,CSCI Building,Attending CSCI 627,2.0
2019-02-04 18:34:16,monday,week/img (69).jpg,CSCI Building,Attending CSCI 627,2.0
2019-02-04 18:37:20,monday,week/img (70).jpg,CSCI Building,Attending CSCI 627,2.0
2019-02-04 18:40:27,monday,week/img (71).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-04 18:43:45,monday,week/img (72).jpg,outside,travel - walking,5.0
2019-02-04 18:47:30,monday,week/img (73).jpg,Faraday Hall,Office Hours - CSCI 340,1.0
2019-02-04 18:49:44,monday,week/img (74).jpg,Faraday Hall,Office Hours - CSCI 340,2.0
2019-02-04 19:00:15,monday,week/img (75).jpg,Faraday Hall,Office Hours - CSCI 340,4.0
2019-02-04 19:07:24,monday,week/img (76).jpg,Faraday Hall,Office Hours - CSCI 340,4.0
2019-02-04 19:13:49,monday,week/img (77).jpg,Faraday Hall,Office Hours - CSCI 340,4.0
2019-02-04 19:17:37,monday,week/img (78).jpg,Faraday Hall,Office Hours - CSCI 340,3.0
2019-02-04 19:22:15,monday,week/img (79).jpg,Faraday Hall,Office Hours - CSCI 340,4.0
2019-02-04 19:27:45,monday,week/img (80).jpg,Faraday Hall,Office Hours - CSCI 340,4.0
2019-02-04 19:34:04,monday,week/img (81).jpg,Faraday Hall,Office Hours - CSCI 340,4.0
2019-02-04 19:39:33,monday,week/img (82).jpg,Faraday Hall,Office Hours - CSCI 340,4.0
2019-02-04 19:42:52,monday,week/img (83).jpg,Faraday Hall,Office Hours - CSCI 340,4.0
2019-02-04 19:54:55,monday,week/img (84).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-04 19:59:30,monday,week/img (85).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-04 20:03:34,monday,week/img (86).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-04 20:24:41,monday,week/img (87).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-04 20:30:20,monday,week/img (88).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-04 20:34:27,monday,week/img (89).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-04 20:38:41,monday,week/img (90).jpg,Faraday Hall,Office Hours - CSCI 340,5.0
2019-02-04 20:40:47,monday,week/img (91).jpg,outside,travel - walking,1.0
2019-02-04 20:43:27,monday,week/img (92).jpg,outside,travel - walking,1.0
2019-02-04 20:45:51,monday,week/img (93).jpg,outside,travel - walking,4.0
2019-02-04 20:48:43,monday,week/img (94).jpg,outside,travel - walking,1.0
2019-02-04 20:51:32,monday,week/img (95).jpg,outside,travel - walking,1.0
2019-02-04 20:53:29,monday,week/img (96).jpg,outside,travel - walking,1.0
2019-02-04 20:57:22,monday,week/img (97).jpg,outside,travel - walking,1.0
2019-02-05 11:07:40,tuesday,week/img (98).jpg,outside,travel - biking,5.0
2019-02-05 11:12:06,tuesday,week/img (99).jpg,outside,travel - biking,5.0
2019-02-05 11:15:37,tuesday,week/img (100).jpg,outside,travel - biking,2.0
2019-02-05 11:18:38,tuesday,week/img (101).jpg,outside,travel - biking,2.0
2019-02-05 11:23:11,tuesday,week/img (102).jpg,Recreation and Wellness Center,workout,2.0
2019-02-05 11:26:03,tuesday,week/img (103).jpg,Recreation and Wellness Center,workout,4.0
2019-02-05 11:29:16,tuesday,week/img (104).jpg,Recreation and Wellness Center,workout,2.0
2019-02-05 11:32:28,tuesday,week/img (105).jpg,Recreation and Wellness Center,workout,2.0
2019-02-05 11:35:12,tuesday,week/img (106).jpg,Recreation and Wellness Center,workout,2.0
2019-02-05 11:37:33,tuesday,week/img (107).jpg,Recreation and Wellness Center,workout,4.0
2019-02-05 11:39:49,tuesday,week/img (108).jpg,Recreation and Wellness Center,workout,4.0
2019-02-05 11:42:56,tuesday,week/img (109).jpg,Recreation and Wellness Center,workout,4.0
2019-02-05 11:46:35,tuesday,week/img (110).jpg,Recreation and Wellness Center,workout,4.0
2019-02-05 11:51:01,tuesday,week/img (111).jpg,Recreation and Wellness Center,workout,4.0
2019-02-05 11:53:50,tuesday,week/img (112).jpg,Recreation and Wellness Center,workout,4.0
2019-02-05 11:57:50,tuesday,week/img (113).jpg,Recreation and Wellness Center,workout,1.0
2019-02-05 12:00:14,tuesday,week/img (114).jpg,Recreation and Wellness Center,workout,1.0
2019-02-05 12:03:34,tuesday,week/img (115).jpg,Recreation and Wellness Center,workout,1.0
2019-02-05 12:06:58,tuesday,week/img (116).jpg,Recreation and Wellness Center,workout,1.0
2019-02-05 12:10:34,tuesday,week/img (117).jpg,Recreation and Wellness Center,workout,3.0
2019-02-05 12:16:25,tuesday,week/img (118).jpg,outside,travel - biking,4.0
2019-02-05 12:20:06,tuesday,week/img (119).jpg,outside,travel - biking,4.0
2019-02-05 12:24:47,tuesday,week/img (120).jpg,CSCI Building,Attending CSCI 515,5.0
2019-02-05 12:28:44,tuesday,week/img (121).jpg,CSCI Building,Attending CSCI 515,2.0
